experiment_id,metric,day,control_n,control_mean,control_se,treatment_n,treatment_mean,treatment_se,obs_lift,obs_lift_se,true_effect
tabs_revamp,review_completions,7,274715,0.13889249,0.00065982,248870,0.13838899,0.00069218,-0.00362515,0.0068732,-0.01007277
tabs_revamp,review_completions,8,236007,0.14542135,0.00072565,262370,0.1448657,0.00068714,-0.00382096,0.00685835,-0.00713439
tabs_revamp,review_completions,9,234927,0.14876185,0.00073418,272672,0.14724172,0.00067859,-0.0102186,0.00668356,-0.00458718
tabs_revamp,review_completions,10,279133,0.14415915,0.00066483,244057,0.14427346,0.00071124,0.00079294,0.00675602,-0.00237906
tabs_revamp,review_completions,11,279222,0.13670524,0.00065013,263333,0.13789785,0.0006719,0.00872391,0.00686802,-0.00046489
tabs_revamp,review_completions,12,277716,0.13139017,0.00064105,242742,0.1319701,0.00068696,0.00441376,0.007166,0.00119446
tabs_revamp,review_completions,13,267196,0.1335683,0.00065812,237000,0.13310005,0.00069775,-0.00350572,0.00716915,0.00263292
tabs_revamp,review_completions,14,262561,0.14022282,0.00067762,286495,0.14059396,0.00064942,0.00264679,0.00670266,0.00387988
tabs_revamp,review_completions,15,253174,0.14711635,0.00070399,283882,0.14588503,0.00066251,-0.00836973,0.00654193,0.00496085
tabs_revamp,review_completions,16,240516,0.14811488,0.0007243,237825,0.14903624,0.00073025,0.00622058,0.0069656,0.00589792
tabs_revamp,review_completions,17,249249,0.14406055,0.00070336,236213,0.14505395,0.00072457,0.00689569,0.00703313,0.00671024
tabs_revamp,review_completions,18,244323,0.13632757,0.0006942,284431,0.13760661,0.00064593,0.00938207,0.00699056,0.00741442
tabs_revamp,review_completions,19,251661,0.13113546,0.00067287,284934,0.13226101,0.00063466,0.00858316,0.00708551,0.00802486
tabs_revamp,review_completions,20,262778,0.13299128,0.00066241,249188,0.13398411,0.00068238,0.00746537,0.00717692,0.00855404
tabs_revamp,review_completions,21,282680,0.14037514,0.00065336,250110,0.14140636,0.00069673,0.00734623,0.00682769,0.00901278
tabs_revamp,review_completions,22,265960,0.14720663,0.00068703,262339,0.14734046,0.00069202,0.00090912,0.0066273,0.00941044
tabs_revamp,review_completions,23,277723,0.14784258,0.00067353,238427,0.14975435,0.00073078,0.01293111,0.00676218,0.00975517
tabs_revamp,review_completions,24,257974,0.14288949,0.00068902,237536,0.14482113,0.00072207,0.01351841,0.00703003,0.01005401
tabs_revamp,review_completions,25,243928,0.1367419,0.00069565,239003,0.13709829,0.00070355,0.00260632,0.00724485,0.01031306
tabs_revamp,review_completions,26,286486,0.13212834,0.00063267,263997,0.13356047,0.00066208,0.01083888,0.00696677,0.01053763
tabs_revamp,review_completions,27,248587,0.13431279,0.00068391,268858,0.13530588,0.00065967,0.00739386,0.00710176,0.0107323
tabs_revamp,review_completions,28,281930,0.13897125,0.00065148,270311,0.14008309,0.00066756,0.00800049,0.00673821,0.01090106
tabs_revamp,review_completions,29,250832,0.1472615,0.00070756,259110,0.1483389,0.00069826,0.00731625,0.00677555,0.01104735
tabs_revamp,review_completions,30,277572,0.14780369,0.00067363,280906,0.15073409,0.00067507,0.01982626,0.00651646,0.01117417
tabs_revamp,review_completions,31,285309,0.14389969,0.0006571,282879,0.14417139,0.00066044,0.00188811,0.00648036,0.01128411
tabs_revamp,review_completions,32,283236,0.13635578,0.00064481,253635,0.13827117,0.0006854,0.01404694,0.00694704,0.01137941
tabs_revamp,review_completions,33,258729,0.13128021,0.00066392,260356,0.13300598,0.00066552,0.01314577,0.0072078,0.01146202
tabs_revamp,review_completions,34,251409,0.13417664,0.00067977,237644,0.13613061,0.00070346,0.01456269,0.00734211,0.01153364
tabs_revamp,review_completions,35,255111,0.14148405,0.00069002,285693,0.14167648,0.00065242,0.0013601,0.00671667,0.01159572
tabs_revamp,review_completions,36,251813,0.14652072,0.0007047,235765,0.14972526,0.00073483,0.02187085,0.00702192,0.01164954
tabs_revamp,review_completions,37,278167,0.14722736,0.00067183,264479,0.14958783,0.00069353,0.01603285,0.00660953,0.0116962
tabs_revamp,review_completions,38,265364,0.14437586,0.00068229,249230,0.14469,0.00070466,0.00217583,0.00680088,0.01173664
tabs_revamp,review_completions,39,234630,0.13542989,0.00070642,249759,0.13750028,0.00068908,0.01528757,0.00734407,0.0117717
tabs_revamp,review_completions,40,243439,0.13162313,0.00068521,245533,0.13297848,0.00068525,0.0102972,0.00740042,0.01180209
tabs_revamp,review_completions,41,264846,0.13360502,0.00066111,244985,0.13608401,0.00069274,0.01855456,0.00723091,0.01182844
tabs_revamp,review_reactions,0,352451,0.08981316,0.0004816,409164,0.10675695,0.00048276,0.18865594,0.00833779,0.18
tabs_revamp,review_reactions,1,397030,0.09400293,0.00046315,388081,0.10806094,0.00049836,0.14954863,0.00775788,0.14031438
tabs_revamp,review_reactions,2,363610,0.09587454,0.00048826,417363,0.10561134,0.00047573,0.10155773,0.00748947,0.1118784
tabs_revamp,review_reactions,3,409591,0.09229931,0.00045227,374168,0.09957384,0.00048951,0.07881459,0.00748808,0.09150312
tabs_revamp,review_reactions,4,362056,0.0871828,0.00046883,365240,0.09397342,0.00048282,0.07788949,0.00801676,0.0769036
tabs_revamp,review_reactions,5,341613,0.08490999,0.00047692,399523,0.08993067,0.00045261,0.05912941,0.00798764,0.06644258
tabs_revamp,review_reactions,6,362683,0.08579293,0.00046503,348137,0.09001292,0.00048506,0.0491881,0.00801925,0.05894694
tabs_revamp,review_reactions,7,400728,0.08997219,0.00045202,391847,0.09524029,0.00046894,0.05855258,0.00744637,0.05357608
tabs_revamp,review_reactions,8,353838,0.09423505,0.00049115,361273,0.09931932,0.0004976,0.05395308,0.00761957,0.04972768
tabs_revamp,review_reactions,9,364149,0.09470041,0.00048521,402365,0.09947306,0.00047184,0.05039737,0.0073341,0.04697019
tabs_revamp,review_reactions,10,360221,0.0923474,0.00048238,379242,0.09691313,0.00048039,0.04944077,0.00755718,0.04499436
tabs_revamp,review_reactions,11,367993,0.08673966,0.00046397,396830,0.09158917,0.00045789,0.05590883,0.00773089,0.04357861
tabs_revamp,review_reactions,12,347984,0.08443039,0.00047132,392208,0.08839004,0.00045326,0.04689841,0.00793564,0.04256419
tabs_revamp,review_reactions,13,408278,0.08560538,0.00043786,345522,0.08966717,0.00048605,0.04744782,0.00780647,0.04183732
tabs_revamp,review_reactions,14,404978,0.08946039,0.00044849,346384,0.09429943,0.00049656,0.05409145,0.0076638,0.0413165
tabs_revamp,review_reactions,15,377582,0.09357948,0.00047397,377472,0.09748209,0.00048278,0.0417037,0.00737921,0.04094331
tabs_revamp,review_reactions,16,395097,0.09466351,0.00046574,356354,0.0990689,0.00050046,0.04653737,0.0073798,0.04067591
tabs_revamp,review_reactions,17,403346,0.09277214,0.0004568,344580,0.09608756,0.00050206,0.0357373,0.00743608,0.04048431
tabs_revamp,review_reactions,18,380566,0.08767899,0.00045847,345865,0.09164486,0.0004906,0.04523171,0.00782174,0.04034703
tabs_revamp,review_reactions,19,404728,0.08422854,0.00043656,402537,0.08812418,0.0004468,0.04625091,0.00758583,0.04024865
tabs_revamp,review_reactions,20,416632,0.08547119,0.00043314,367017,0.08947795,0.00047115,0.04687856,0.00765066,0.04017817
tabs_revamp,review_reactions,21,381632,0.09031219,0.00046398,388248,0.09330145,0.00046679,0.03309924,0.00740841,0.04012766
tabs_revamp,review_reactions,22,353186,0.09477368,0.00049286,408768,0.09812239,0.00046529,0.03533375,0.00728637,0.04009147
tabs_revamp,review_reactions,23,397795,0.09552828,0.00046605,384503,0.09888314,0.0004814,0.03511906,0.00713422,0.04006554
tabs_revamp,review_reactions,24,378701,0.09238505,0.00047055,404252,0.09629299,0.00046396,0.04230064,0.00730783,0.04004696
tabs_revamp,review_reactions,25,385672,0.08751985,0.00045505,363063,0.0906421,0.00047648,0.03567469,0.00765741,0.04003365
tabs_revamp,review_reactions,26,365245,0.08500352,0.00046146,408192,0.08793448,0.00044326,0.03448052,0.00766362,0.04002411
tabs_revamp,review_reactions,27,351293,0.08498817,0.0004705,355289,0.08922606,0.00047826,0.04986447,0.00808994,0.04001728
tabs_revamp,review_reactions,28,385007,0.08988613,0.00046096,343772,0.09355163,0.00049666,0.04077939,0.00768233,0.04001238
tabs_revamp,review_reactions,29,390263,0.09439362,0.00046802,387356,0.09813147,0.00047799,0.03959855,0.00722572,0.04000887
tabs_revamp,review_reactions,30,351839,0.09636018,0.00049748,399877,0.0989271,0.00047214,0.02663871,0.00721805,0.04000636
tabs_revamp,review_reactions,31,408528,0.09164793,0.00045142,383900,0.09569792,0.00047479,0.04419074,0.00730006,0.04000455
tabs_revamp,review_reactions,32,361719,0.08838888,0.00047197,382987,0.0909466,0.00046462,0.02893715,0.00760381,0.04000326
tabs_revamp,review_reactions,33,351844,0.08504266,0.00047027,408201,0.08765204,0.00044261,0.03068314,0.00771826,0.04000234
tabs_revamp,review_reactions,34,369341,0.08585058,0.00046096,359069,0.08882655,0.00047477,0.03466448,0.00783878,0.04000168
tabs_revamp,review_reactions,35,392797,0.09021759,0.00045712,397958,0.0935506,0.00046161,0.03694415,0.00733383,0.0400012
tabs_revamp,review_reactions,36,372765,0.09319894,0.00047615,364608,0.09821397,0.00049286,0.0538099,0.00754666,0.04000086
tabs_revamp,review_reactions,37,348254,0.09516556,0.00049725,353872,0.09965472,0.00050354,0.04717213,0.00761149,0.04000062
tabs_revamp,review_reactions,38,391055,0.09248158,0.00046327,404811,0.09713065,0.00046544,0.05027019,0.00728072,0.04000044
tabs_revamp,review_reactions,39,388525,0.08767201,0.00045373,380648,0.09092016,0.00046598,0.03704881,0.00755348,0.04000032
tabs_revamp,review_reactions,40,413914,0.08452443,0.00043237,396669,0.08818307,0.00045023,0.04328494,0.00754016,0.04000023
tabs_revamp,review_reactions,41,374834,0.0857911,0.00045743,357600,0.08948437,0.00047733,0.04304964,0.00786678,0.04000016
tabs_revamp,tab_usage,0,286913,2.29920285,0.00343394,260725,2.32971245,0.00365007,0.01326964,0.00219329,0.012
tabs_revamp,tab_usage,1,254269,2.40565967,0.00381661,282420,2.43337675,0.00366312,0.01152161,0.00221224,0.01437353
tabs_revamp,tab_usage,2,289963,2.43565196,0.00361854,264601,2.47559523,0.00385012,0.01639942,0.00218607,0.0166949
tabs_revamp,tab_usage,3,266344,2.35916913,0.00365702,268852,2.40479345,0.00371032,0.01933915,0.0022294,0.01896525
tabs_revamp,tab_usage,4,279643,2.24136896,0.00339079,265007,2.28006694,0.00354331,0.01726533,0.00220624,0.0211857
tabs_revamp,tab_usage,5,292838,2.16487257,0.00320043,261356,2.21597208,0.00346767,0.02360393,0.00220355,0.02335735
tabs_revamp,tab_usage,6,267311,2.19247757,0.00339248,274755,2.24740312,0.00343003,0.02505182,0.00222782,0.02548128
tabs_revamp,tab_usage,7,295336,2.29211756,0.00337418,295111,2.35886838,0.00347377,0.0291219,0.00214287,0.02755853
tabs_revamp,tab_usage,8,256066,2.40679235,0.00380498,294612,2.48193841,0.0036581,0.0312225,0.0022289,0.02959013
tabs_revamp,tab_usage,9,309757,2.43458393,0.00349949,262390,2.50700046,0.00391535,0.02974493,0.00218569,0.03157708
tabs_revamp,tab_usage,10,288146,2.36201849,0.0035202,275579,2.44111758,0.00372011,0.03348792,0.00220292,0.03352036
tabs_revamp,tab_usage,11,301027,2.24061335,0.00326704,295283,2.32527434,0.0034233,0.03778474,0.00215036,0.03542093
tabs_revamp,tab_usage,12,273894,2.15763009,0.00329819,302434,2.25014175,0.00327329,0.04287651,0.00220065,0.03727974
tabs_revamp,tab_usage,13,275059,2.19958963,0.0033552,292973,2.27924542,0.00336874,0.03621393,0.00220089,0.03909769
tabs_revamp,tab_usage,14,300788,2.30671755,0.00336476,294046,2.39268038,0.00352994,0.0372663,0.00215199,0.04087569
tabs_revamp,tab_usage,15,271804,2.40219196,0.00368612,269381,2.51075526,0.00387,0.04519343,0.00227325,0.04261462
tabs_revamp,tab_usage,16,253796,2.42867526,0.00385671,253812,2.5378345,0.00402993,0.044946,0.00234666,0.04431533
tabs_revamp,tab_usage,17,307125,2.36193987,0.00340958,263212,2.46843455,0.0038491,0.0450878,0.00222074,0.04597866
tabs_revamp,tab_usage,18,293777,2.23231309,0.00329485,263686,2.3459916,0.00365488,0.05092409,0.00225537,0.04760544
tabs_revamp,tab_usage,19,301223,2.1659447,0.00315714,275898,2.26669893,0.00345231,0.04651745,0.00220623,0.04919646
tabs_revamp,tab_usage,20,263193,2.18717429,0.00341064,276580,2.30557695,0.00350719,0.05413499,0.00229638,0.05075252
tabs_revamp,tab_usage,21,270905,2.30170407,0.00353778,306684,2.42244029,0.00349943,0.05245514,0.00221998,0.05227438
tabs_revamp,tab_usage,22,298325,2.40649141,0.00352476,265183,2.53527718,0.00393861,0.05351599,0.00224938,0.05376279
tabs_revamp,tab_usage,23,277259,2.43550057,0.00370029,255386,2.5703615,0.00406898,0.05537298,0.00231565,0.0552185
tabs_revamp,tab_usage,24,278150,2.35629323,0.00357421,262835,2.49553213,0.00389414,0.05909235,0.00230481,0.05664221
tabs_revamp,tab_usage,25,259942,2.23984977,0.00351456,287469,2.36982496,0.00353599,0.05802853,0.00229092,0.05803463
tabs_revamp,tab_usage,26,279433,2.16797613,0.003281,255275,2.28918592,0.00362466,0.05590919,0.00231277,0.05939645
tabs_revamp,tab_usage,27,300305,2.19531811,0.00320484,280669,2.32686196,0.00351369,0.05992017,0.00222619,0.06072834
tabs_revamp,session_duration,0,199143,309.54001956,0.69364025,200149,311.15310098,0.69550046,0.00521122,0.00318158,0.004
tabs_revamp,session_duration,1,181723,323.64794006,0.75922045,213374,326.13431216,0.70603421,0.00768234,0.00321662,0.004
tabs_revamp,session_duration,2,212621,328.71413609,0.71287815,216352,329.12212534,0.70758175,0.00124117,0.00305753,0.004
tabs_revamp,session_duration,3,202663,318.70527217,0.70794907,181260,319.28095489,0.74993224,0.00180632,0.00323868,0.004
tabs_revamp,session_duration,4,215352,302.91377298,0.65274652,202756,303.82803898,0.67474705,0.00301824,0.00310379,0.004
tabs_revamp,session_duration,5,209400,292.24228433,0.63863794,219127,293.52024687,0.6270326,0.00437296,0.00306936,0.004
tabs_revamp,session_duration,6,214620,294.76530859,0.63626975,211673,296.56650163,0.64459861,0.0061106,0.003082,0.004
tabs_revamp,session_duration,7,197932,310.30128044,0.69747005,197936,311.07636318,0.69920515,0.00249784,0.00318668,0.004
tabs_revamp,session_duration,8,213379,324.66887189,0.7028535,214170,326.25800778,0.70498822,0.00489464,0.00307368,0.004
tabs_revamp,session_duration,9,185963,327.40106242,0.75921855,186496,330.96707731,0.76639036,0.01089189,0.00331281,0.004
tabs_revamp,session_duration,10,201977,317.27456237,0.70596683,184392,321.04865712,0.74765255,0.01189536,0.00325923,0.004
tabs_revamp,session_duration,11,207392,303.39849345,0.66621962,204003,303.80418083,0.67262882,0.00133714,0.00312245,0.004
tabs_revamp,session_duration,12,208938,290.7979301,0.63618378,193755,291.73549288,0.66276995,0.0032241,0.0031641,0.004
tabs_revamp,session_duration,13,200784,295.37606348,0.65919021,203921,297.04233784,0.65779017,0.0056412,0.00316167,0.004
tabs_revamp,session_duration,14,194604,310.34133332,0.70349941,217212,311.93889358,0.66931047,0.00514775,0.00313736,0.004
tabs_revamp,session_duration,15,216984,324.49436358,0.69661577,196390,325.81243698,0.73520419,0.00406193,0.00312722,0.004
tabs_revamp,session_duration,16,182246,327.65038462,0.76750582,216949,329.44562313,0.70730205,0.00547913,0.0031949,0.004
tabs_revamp,session_duration,17,197274,318.61180223,0.71734311,188485,319.28234876,0.73542182,0.00210459,0.00322773,0.004
tabs_revamp,session_duration,18,206240,300.91443849,0.66260785,194777,303.29012033,0.68720993,0.00789487,0.0031845,0.004
tabs_revamp,session_duration,19,190575,292.48079709,0.66998394,192928,293.04584231,0.66717219,0.00193191,0.00323588,0.004
tabs_revamp,session_duration,20,181324,295.91065448,0.69491703,217151,297.26319185,0.63791119,0.00457076,0.00319575,0.004
tabs_revamp,session_duration,21,188751,310.09891944,0.71376561,209935,312.37272183,0.68175868,0.00733251,0.00319522,0.004
tabs_revamp,session_duration,22,212391,324.6066293,0.70435132,205187,325.39854428,0.71835759,0.00243961,0.00310302,0.004
tabs_revamp,session_duration,23,215008,328.3773222,0.70818357,199003,328.37711099,0.73611059,-6.4e-07,0.00311063,0.004
tabs_revamp,session_duration,24,202058,317.39068429,0.70608364,216434,318.16623918,0.68389803,0.00244353,0.00310101,0.004
tabs_revamp,session_duration,25,219006,301.69659612,0.64467734,207615,301.62700557,0.66197389,-0.00023066,0.00306241,0.004
tabs_revamp,session_duration,26,217209,291.6978213,0.62588462,184069,292.86963319,0.68262787,0.00401721,0.00318079,0.004
tabs_revamp,session_duration,27,185391,295.4660795,0.6862199,213542,296.83020351,0.64234217,0.00461685,0.00318907,0.004
tabs_revamp,session_duration,28,199509,310.38148046,0.69488759,201641,311.64828815,0.69402533,0.00408145,0.00317067,0.004
tabs_revamp,session_duration,29,191430,323.87348053,0.74023632,202836,325.53310118,0.72280748,0.00512429,0.00320285,0.004
tabs_revamp,session_duration,30,210447,327.30270838,0.71347413,188230,328.52329785,0.75721944,0.00372924,0.00318428,0.004
tabs_revamp,session_duration,31,185880,317.769513,0.73704821,205476,320.06683413,0.7060901,0.00722952,0.00322417,0.004
tabs_revamp,session_duration,32,209291,301.45041398,0.65893201,217863,303.00328023,0.64916574,0.00515132,0.0030765,0.004
tabs_revamp,session_duration,33,191471,291.35647588,0.66584505,213234,294.43123393,0.63761078,0.01055325,0.00318162,0.004
tabs_revamp,session_duration,34,204092,295.09642617,0.65320719,217046,297.33565561,0.63822101,0.00758813,0.00310675,0.004
tabs_revamp,session_duration,35,197451,310.82833396,0.69950518,205364,310.3687639,0.68488215,-0.00147853,0.00314716,0.004
tabs_revamp,session_duration,36,205002,324.89663699,0.71757313,210166,326.2178995,0.71158463,0.00406672,0.00311684,0.004
tabs_revamp,session_duration,37,205478,328.3932311,0.7244552,203874,329.57746894,0.72992223,0.00360616,0.00313724,0.004
tabs_revamp,session_duration,38,213619,318.75965229,0.68967329,207819,319.55721693,0.70098061,0.00250209,0.0030888,0.004
tabs_revamp,session_duration,39,204227,302.58866449,0.66957014,204095,303.32327758,0.67141271,0.00242776,0.00313749,0.004
tabs_revamp,session_duration,40,182793,291.74809357,0.68238307,204537,293.13504681,0.64815937,0.00475394,0.00323396,0.004
tabs_revamp,session_duration,41,196274,295.44319208,0.66687218,217304,297.43600968,0.63805731,0.00674518,0.00313497,0.004
draft_autosave,review_completions,0,223753,0.14102681,0.00073579,196303,0.14354126,0.00079137,0.01782959,0.00772588,0.03
draft_autosave,review_completions,1,221910,0.14595106,0.00074947,211614,0.15134121,0.00077906,0.03693121,0.0075396,0.03
draft_autosave,review_completions,2,191200,0.14969378,0.00081592,219021,0.15274471,0.00076868,0.02038111,0.00756972,0.03
draft_autosave,review_completions,3,196743,0.1430128,0.00078927,196789,0.14807835,0.00080065,0.03542023,0.0079998,0.03
draft_autosave,review_completions,4,186877,0.13505769,0.00079063,203422,0.1399238,0.00076916,0.03602986,0.00831968,0.03
draft_autosave,review_completions,5,220166,0.13200738,0.00072141,213921,0.13741731,0.00074438,0.04098208,0.00801005,0.03
draft_autosave,review_completions,6,208896,0.13381503,0.00074489,226484,0.13704612,0.00072262,0.02414593,0.00785255,0.03
draft_autosave,review_completions,7,226905,0.13999898,0.00072843,217094,0.14455141,0.00075472,0.03251756,0.00761075,0.03
draft_autosave,review_completions,8,215998,0.147374,0.00076272,203336,0.15038463,0.00079269,0.02042847,0.00753802,0.03
draft_autosave,review_completions,9,226606,0.14702972,0.00074393,193308,0.15190749,0.00081637,0.03317542,0.00762608,0.03
draft_autosave,review_completions,10,190014,0.14439232,0.00080634,220075,0.14768287,0.00075628,0.02278898,0.00774954,0.03
draft_autosave,review_completions,11,209794,0.13564059,0.00074756,207932,0.14076914,0.00076269,0.03780983,0.00802071,0.03
draft_autosave,review_completions,12,223895,0.13106995,0.00071322,227382,0.13392446,0.00071422,0.02177854,0.00778503,0.03
draft_autosave,review_completions,13,207018,0.13385166,0.00074835,200571,0.13842455,0.00077111,0.03416379,0.00816204,0.03
draft_autosave,review_completions,14,192418,0.1394489,0.00078972,209407,0.14344309,0.00076599,0.02864265,0.00800672,0.03
draft_autosave,review_completions,15,197696,0.14616198,0.00079452,210333,0.15122722,0.00078119,0.03465495,0.00775875,0.03
draft_autosave,review_completions,16,194620,0.14859601,0.00080626,194140,0.15280637,0.00081659,0.02833426,0.00783143,0.03
draft_autosave,review_completions,17,213478,0.14465848,0.00076132,213793,0.14818648,0.00076839,0.02438845,0.00756833,0.03
draft_autosave,review_completions,18,208602,0.13506622,0.00074835,202786,0.14023621,0.00077108,0.03827741,0.00810465,0.03
draft_autosave,review_completions,19,214996,0.13138237,0.00072856,211073,0.13495662,0.0007437,0.02720497,0.00803053,0.03
draft_autosave,review_completions,20,226931,0.13344102,0.00071383,202944,0.1373073,0.00076399,0.02897366,0.00794214,0.03
draft_autosave,review_completions,21,188957,0.14050901,0.00079945,194398,0.1456115,0.00079998,0.03631435,0.00819644,0.03
draft_autosave,review_completions,22,191398,0.14632117,0.00080785,196760,0.15124672,0.00080773,0.03366257,0.00793992,0.03
draft_autosave,review_completions,23,191806,0.14825756,0.00081139,194707,0.15301755,0.00081586,0.0321062,0.00788603,0.03
draft_autosave,review_completions,24,188418,0.14212709,0.00080443,191407,0.14844148,0.00081265,0.04442781,0.00822423,0.03
